Validation_Set,Alpha,Beta,Coherence
75% Corpus,symmetric,0.01,0.390336235000884
75% Corpus,symmetric,0.31,0.40469392375200186
75% Corpus,symmetric,0.61,0.40533767626584016
75% Corpus,symmetric,0.9099999999999999,0.3582399552853137
75% Corpus,symmetric,symmetric,0.39743339102933073
75% Corpus,asymmetric,0.01,0.39348196479849573
75% Corpus,asymmetric,0.31,0.406339683678565
75% Corpus,asymmetric,0.61,0.4040772365314804
75% Corpus,asymmetric,0.9099999999999999,0.3949710880587459
75% Corpus,asymmetric,symmetric,0.40697636680366234
100% Corpus,symmetric,0.01,0.38178806578890206
100% Corpus,symmetric,0.31,0.3798224551717419
100% Corpus,symmetric,0.61,0.4058524398310437
100% Corpus,symmetric,0.9099999999999999,0.42464173686329043
100% Corpus,symmetric,symmetric,0.38791092538740624
100% Corpus,asymmetric,0.01,0.3944509894539433
100% Corpus,asymmetric,0.31,0.3875452477589007
100% Corpus,asymmetric,0.61,0.39147370899543
100% Corpus,asymmetric,0.9099999999999999,0.405563738734819
100% Corpus,asymmetric,symmetric,0.39425851712031834
